Draw Date,Regular Numbers,,,,,,,Bonus
1st July 2022,1,11,13,14,25,36,47,50
28th June 2022,8,19,22,41,42,46,47,10
24th June 2022,3,9,17,19,20,44,50,28
21st June 2022,2,4,5,22,32,40,50,43
17th June 2022,1,10,12,21,30,39,40,38
14th June 2022,11,17,18,25,36,41,50,34
10th June 2022,8,14,16,17,19,22,24,23
7th June 2022,6,13,17,20,28,36,44,31
3rd June 2022,2,16,17,21,38,43,45,42
31st May 2022,6,13,23,27,35,44,50,37
27th May 2022,4,9,21,22,27,31,34,5
24th May 2022,12,26,30,31,35,39,45,22
20th May 2022,5,6,20,29,42,44,47,14
17th May 2022,10,35,38,40,45,47,48,23
13th May 2022,2,22,37,38,39,42,47,30
10th May 2022,6,15,18,19,20,27,28,24
6th May 2022,3,6,11,18,19,28,41,26
3rd May 2022,6,11,22,24,27,29,33,31
29th April 2022,8,9,19,32,37,46,48,45
26th April 2022,3,10,15,31,35,38,42,22
22nd April 2022,13,14,23,30,34,36,42,33
19th April 2022,1,6,10,27,42,45,50,43
15th April 2022,1,6,18,21,30,32,37,35
12th April 2022,3,5,7,19,32,34,50,25
8th April 2022,1,2,14,15,21,26,29,4
5th April 2022,14,24,34,39,43,48,50,20
1st April 2022,7,10,18,29,38,43,50,41
29th March 2022,7,17,32,34,39,45,47,42
25th March 2022,3,7,16,18,27,32,37,17
22nd March 2022,14,16,20,26,33,36,48,1
18th March 2022,5,7,12,18,26,29,46,25
15th March 2022,3,7,12,17,23,38,40,27
11th March 2022,5,7,12,22,28,43,47,1
8th March 2022,10,12,13,18,25,26,37,39
4th March 2022,2,4,14,18,24,46,47,23
1st March 2022,5,6,28,36,40,46,50,27
25th February 2022,2,4,17,28,35,44,46,5
22nd February 2022,3,13,26,27,28,36,45,50
18th February 2022,2,3,8,11,12,37,49,36
15th February 2022,19,26,28,36,40,42,48,6
11th February 2022,1,10,12,30,33,34,36,4
8th February 2022,16,29,32,34,38,39,47,18
4th February 2022,5,15,19,22,37,46,47,1
1st February 2022,9,14,24,26,29,39,49,42
28th January 2022,3,7,8,10,34,43,47,16
25th January 2022,11,13,18,20,23,30,40,37
21st January 2022,10,14,21,26,28,36,50,41
18th January 2022,2,15,25,28,30,35,38,31
14th January 2022,2,4,7,10,14,21,34,26
11th January 2022,1,3,24,25,27,36,47,12
7th January 2022,4,5,31,39,42,45,50,11
4th January 2022,7,8,13,20,25,26,48,36
31st December 2021,7,25,30,35,38,40,49,27
28th December 2021,11,12,21,27,32,43,49,15
24th December 2021,3,11,24,25,29,32,42,16
21st December 2021,13,23,26,27,28,38,47,36
17th December 2021,9,14,16,33,39,46,49,38
14th December 2021,3,21,22,26,28,44,49,34
10th December 2021,17,21,27,32,45,46,49,19
7th December 2021,9,16,19,24,27,34,40,7
3rd December 2021,7,18,22,35,37,43,45,44
30th November 2021,4,7,8,22,24,30,49,42
26th November 2021,9,26,30,35,37,42,50,47
23rd November 2021,14,17,25,27,31,32,34,20
19th November 2021,1,13,14,17,25,28,41,43
16th November 2021,5,6,7,17,26,29,42,38
12th November 2021,4,6,7,10,17,27,44,40
9th November 2021,2,8,16,17,19,26,42,41
5th November 2021,2,10,11,17,19,32,42,41
2nd November 2021,7,13,18,30,33,37,41,6
29th October 2021,1,5,17,18,38,41,48,13
26th October 2021,2,8,10,14,21,36,40,17
22nd October 2021,2,11,19,33,44,45,47,42
19th October 2021,12,26,28,32,41,43,50,49
15th October 2021,14,17,20,24,25,38,48,11
12th October 2021,7,11,13,30,38,40,43,45
8th October 2021,5,16,19,21,23,31,36,46
5th October 2021,2,10,18,19,25,42,48,21
1st October 2021,4,8,15,39,40,42,48,5
28th September 2021,2,5,8,18,23,31,35,43
24th September 2021,5,13,28,35,41,49,50,34
21st September 2021,4,8,11,14,15,34,45,7
17th September 2021,3,6,10,26,29,35,45,30
14th September 2021,17,24,27,33,38,41,48,39
10th September 2021,11,28,38,40,43,45,48,33
7th September 2021,5,8,31,36,41,42,43,39
3rd September 2021,1,2,4,10,27,33,45,31
31st August 2021,3,11,23,26,31,42,50,24
27th August 2021,9,10,13,25,41,47,49,36
24th August 2021,1,24,26,29,30,45,50,5
20th August 2021,2,6,21,31,34,39,45,33
17th August 2021,5,16,18,33,37,38,39,35
13th August 2021,1,14,17,20,28,32,38,6
10th August 2021,14,18,19,32,35,38,41,27
6th August 2021,14,15,24,43,44,48,49,47
3rd August 2021,4,5,9,15,24,36,48,50
30th July 2021,4,12,18,19,22,25,44,43
27th July 2021,5,12,13,32,36,40,48,49
23rd July 2021,7,8,13,21,35,38,45,15
20th July 2021,2,13,15,19,38,39,46,34
16th July 2021,13,17,24,26,33,46,48,27
13th July 2021,2,6,12,13,17,36,48,25
9th July 2021,11,21,32,33,38,40,44,19
6th July 2021,10,14,25,26,38,41,50,49
2nd July 2021,6,14,35,37,40,43,46,19
29th June 2021,6,17,22,23,32,37,47,13
25th June 2021,10,13,18,33,36,45,47,22
22nd June 2021,7,11,22,28,33,44,49,10
18th June 2021,11,14,15,24,34,43,47,36
15th June 2021,2,8,12,13,14,36,43,29
11th June 2021,20,21,25,33,38,44,45,22
8th June 2021,1,9,14,24,26,37,42,29
4th June 2021,2,3,16,28,31,42,47,12
1st June 2021,6,20,21,28,38,43,47,40
28th May 2021,7,18,22,40,44,46,50,5
25th May 2021,6,9,11,19,24,38,46,18
21st May 2021,5,6,25,31,32,44,48,39
18th May 2021,5,9,18,27,32,38,40,34
