Draw Date,Regular Numbers,,,,,,
1st July 2022,1,11,13,14,25,36,47
28th June 2022,8,19,22,41,42,46,47
24th June 2022,3,9,17,19,20,44,50
21st June 2022,2,4,5,22,32,40,50
17th June 2022,1,10,12,21,30,39,40
14th June 2022,11,17,18,25,36,41,50
10th June 2022,8,14,16,17,19,22,24
7th June 2022,6,13,17,20,28,36,44
3rd June 2022,2,16,17,21,38,43,45
31st May 2022,6,13,23,27,35,44,50
27th May 2022,4,9,21,22,27,31,34
24th May 2022,12,26,30,31,35,39,45
20th May 2022,5,6,20,29,42,44,47
17th May 2022,10,35,38,40,45,47,48
13th May 2022,2,22,37,38,39,42,47
10th May 2022,6,15,18,19,20,27,28
6th May 2022,3,6,11,18,19,28,41
3rd May 2022,6,11,22,24,27,29,33
29th April 2022,8,9,19,32,37,46,48
26th April 2022,3,10,15,31,35,38,42
22nd April 2022,13,14,23,30,34,36,42
19th April 2022,1,6,10,27,42,45,50
15th April 2022,1,6,18,21,30,32,37
12th April 2022,3,5,7,19,32,34,50
8th April 2022,1,2,14,15,21,26,29
5th April 2022,14,24,34,39,43,48,50
1st April 2022,7,10,18,29,38,43,50
29th March 2022,7,17,32,34,39,45,47
25th March 2022,3,7,16,18,27,32,37
22nd March 2022,14,16,20,26,33,36,48
18th March 2022,5,7,12,18,26,29,46
15th March 2022,3,7,12,17,23,38,40
11th March 2022,5,7,12,22,28,43,47
8th March 2022,10,12,13,18,25,26,37
4th March 2022,2,4,14,18,24,46,47
1st March 2022,5,6,28,36,40,46,50
25th February 2022,2,4,17,28,35,44,46
22nd February 2022,3,13,26,27,28,36,45
18th February 2022,2,3,8,11,12,37,49
15th February 2022,19,26,28,36,40,42,48
11th February 2022,1,10,12,30,33,34,36
8th February 2022,16,29,32,34,38,39,47
4th February 2022,5,15,19,22,37,46,47
1st February 2022,9,14,24,26,29,39,49
28th January 2022,3,7,8,10,34,43,47
25th January 2022,11,13,18,20,23,30,40
21st January 2022,10,14,21,26,28,36,50
18th January 2022,2,15,25,28,30,35,38
14th January 2022,2,4,7,10,14,21,34
11th January 2022,1,3,24,25,27,36,47
7th January 2022,4,5,31,39,42,45,50
4th January 2022,7,8,13,20,25,26,48
31st December 2021,7,25,30,35,38,40,49
28th December 2021,11,12,21,27,32,43,49
24th December 2021,3,11,24,25,29,32,42
21st December 2021,13,23,26,27,28,38,47
17th December 2021,9,14,16,33,39,46,49
14th December 2021,3,21,22,26,28,44,49
10th December 2021,17,21,27,32,45,46,49
7th December 2021,9,16,19,24,27,34,40
3rd December 2021,7,18,22,35,37,43,45
30th November 2021,4,7,8,22,24,30,49
26th November 2021,9,26,30,35,37,42,50
23rd November 2021,14,17,25,27,31,32,34
19th November 2021,1,13,14,17,25,28,41
16th November 2021,5,6,7,17,26,29,42
12th November 2021,4,6,7,10,17,27,44
9th November 2021,2,8,16,17,19,26,42
5th November 2021,2,10,11,17,19,32,42
2nd November 2021,7,13,18,30,33,37,41
29th October 2021,1,5,17,18,38,41,48
26th October 2021,2,8,10,14,21,36,40
22nd October 2021,2,11,19,33,44,45,47
19th October 2021,12,26,28,32,41,43,50
15th October 2021,14,17,20,24,25,38,48
12th October 2021,7,11,13,30,38,40,43
8th October 2021,5,16,19,21,23,31,36
5th October 2021,2,10,18,19,25,42,48
1st October 2021,4,8,15,39,40,42,48
28th September 2021,2,5,8,18,23,31,35
24th September 2021,5,13,28,35,41,49,50
21st September 2021,4,8,11,14,15,34,45
17th September 2021,3,6,10,26,29,35,45
14th September 2021,17,24,27,33,38,41,48
10th September 2021,11,28,38,40,43,45,48
7th September 2021,5,8,31,36,41,42,43
3rd September 2021,1,2,4,10,27,33,45
31st August 2021,3,11,23,26,31,42,50
27th August 2021,9,10,13,25,41,47,49
24th August 2021,1,24,26,29,30,45,50
20th August 2021,2,6,21,31,34,39,45
17th August 2021,5,16,18,33,37,38,39
13th August 2021,1,14,17,20,28,32,38
10th August 2021,14,18,19,32,35,38,41
6th August 2021,14,15,24,43,44,48,49
3rd August 2021,4,5,9,15,24,36,48
30th July 2021,4,12,18,19,22,25,44
27th July 2021,5,12,13,32,36,40,48
23rd July 2021,7,8,13,21,35,38,45
20th July 2021,2,13,15,19,38,39,46
16th July 2021,13,17,24,26,33,46,48
13th July 2021,2,6,12,13,17,36,48
9th July 2021,11,21,32,33,38,40,44
6th July 2021,10,14,25,26,38,41,50
2nd July 2021,6,14,35,37,40,43,46
29th June 2021,6,17,22,23,32,37,47
25th June 2021,10,13,18,33,36,45,47
